status,name,company_profile,head,short_name,location,edrpou
припинено,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""СВЕДБАНК ІНВЕСТ""",65.12.1 КОМЕРЦІЙНІ БАНКИ,КУРИЛЕЦЬ МАРІЯ МИРОНІВНА,"АТ  ""СВЕДБАНК ІНВЕСТ"" (ПРИВАТНЕ)","01001, м.Київ, Печерський район, ВУЛИЦЯ ШОТА РУСТАВЕЛІ, будинок 16",21658672
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "" БАНК НАЦІОНАЛЬНИЙ КРЕДИТ""",64.19 Інші види грошового посередництва,БРАЙКО СТАНІСЛАВ АНАТОЛІЙОВИЧ,"ПАТ ""БАНК НАЦІОНАЛЬНИЙ КРЕДИТ""","04053, м.Київ, Шевченківський район, ВУЛИЦЯ ТУРГЕНЄВСЬКА, будинок 52/58",20057663
припинено,"АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК ""ХФБ БАНК УКРАЇНА""",65.12.1 КОМЕРЦІЙНІ БАНКИ,ЛЕБЕРЛЕ МАРТІН,"АКБ""ХФБ БАНК УКРАЇНА""","01034, м.Київ, Шевченківський район,  ВУЛИЦЯ ЯРОСЛАВІВ ВАЛ, будинок 14-А",20077200
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ІНТЕГРАЛ-БАНК""",64.19 Інші види грошового посередництва,АНДРОНОВ ОЛЕГ БОРИСОВИЧ,"ПАТ ""ІНТЕГРАЛ-БАНК""","03057, м.Київ, Шевченківський район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 52/2",22932856
в стані припинення,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЄВРОПЕЙСЬКИЙ БАНК РОЗВИТКУ ТА ЗАОЩАДЖЕНЬ""",65.12.1 КОМЕРЦІЙНІ БАНКИ,ПИСАРЕНКО ОЛЕСЯ ПАВЛІВНА,"ТОВ""ЄВРОПЕЙСЬКИЙ БАНК РОЗВИТКУ ТА ЗАОЩАДЖЕНЬ""","01135, м.Київ, Шевченківський район, ВУЛ.ЧОРНОВОЛА, будинок 12-А",21110655
припинено,"""Київський Міжнародний Банк""",,,,"252001, м. Київ, бул. Лесі Українки, 34",24363820
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО  ""УКРГАЗПРОМБАНК""",64.19 Інші види грошового посередництва,БОНДАРЕНКО ВАЛЕРІЙ ВІКТОРОВИЧ,"ПАТ ""УКРГАЗПРОМБАНК""","02098, м.Київ, Дніпровський район, ДНІПРОВСЬКА НАБЕРЕЖНА , будинок 13",24262992
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ДІАМАНТБАНК""",64.19 Інші види грошового посередництва,ТІМОНІН ОЛЕКСАНДР ОЛЕКСІЙОВИЧ,"ПАТ ""ДІАМАНТБАНК""","04070, м.Київ, Подільський район, КОНТРАКТОВА ПЛОЩА, будинок 10-А",23362711
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АЛЬТБАНК""",64.19 Інші види грошового посередництва,ВОЛОХ ІГОР ОЛЕГОВИЧ,"АТ ""АЛЬТБАНК""","03037, м.Київ, Солом'янський район, ВУЛИЦЯ  ВУЗІВСЬКА, будинок 5",19358784
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "" ПРОКРЕДИТ БАНК """,64.19 Інші види грошового посередництва,ПОНОМАРЕНКО ВІКТОР ВІКТОРОВИЧ,"АТ ""ПРОКРЕДИТ БАНК""","03115, м.Київ, Святошинський район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 107-А",21677333
