status,name,company_profile,head,short_name,location,edrpou
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АПЕКС-БАНК""",64.19 Інші види грошового посередництва,КАБАН ВІКТОР ВАСИЛЬОВИЧ,"ПАТ ""АПЕКС-БАНК""","01014, м.Київ, Печерський район, ВУЛИЦЯ ПЕЧЕРСЬКА, будинок 2/16",36482677
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ДОЙЧЕ БАНК ДБУ""",64.19 Інші види грошового посередництва,ІВАНОВ-БЛАНКЕНБУРГ БОРИСЛАВ,"ПАТ  ""ДОЙЧЕ БАНК ДБУ"" ","01015, м.Київ, Печерський район, ВУЛИЦЯ ЛАВРСЬКА, будинок 20",36520434
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""ЦЕНТР""",64.19 Інші види грошового посередництва,КЛИМОВИЧ ІЛЛЯ ЛЕОНІДОВИЧ,"ПАТ КБ ""ЦЕНТР""","02002, м.Київ, Дніпровський район, ВУЛИЦЯ РАЇСИ ОКІПНОЇ, будинок 8А",37119553
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""НАДРА""",64.19 Інші види грошового посередництва,СТРЮКОВА ІРИНА ОЛЕКСАНДРІВНА,"ПАТ ""КБ ""НАДРА""","04053, м.Київ, Шевченківський район, ВУЛИЦЯ  АРТЕМА, будинок 15",20025456
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""СМАРТБАНК""",64.19 Інші види грошового посередництва,ФЕДОРЧЕНКО АНДРІЙ ВОЛОДИМИРОВИЧ,"ПУАТ ""СМАРТБАНК""","04114, м.Київ, Подільський район, ВУЛИЦЯ ВИШГОРОДСЬКА, будинок 45/2, ЛІТЕРА ""А""",37176171
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""СЕБ КОРПОРАТИВНИЙ БАНК""",64.19 Інші види грошового посередництва,АНДЕРССОН НІЛЬС ЛЕННАРТ КРІСТІАН,"ПАТ ""СЕБ КОРПОРАТИВНИЙ БАНК""","01001, м.Київ, Шевченківський район, ВУЛИЦЯ МИХАЙЛІВСЬКА, будинок 7",37515069
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК СІЧ""",64.19 Інші види грошового посередництва,ШУЛЬГА ВЛАДА ВІКТОРІВНА,"ПАТ ""БАНК СІЧ""","01033, м.Київ, Голосіївський район, ВУЛИЦЯ ВОЛОДИМИРСЬКА, будинок 63",37716841
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ДІВІ БАНК""",64.19 Інші види грошового посередництва,ГОРБАЧЕВСЬКИЙ СЕРГІЙ ОЛЕКСАНДРОВИЧ,"ПАТ ""ДІВІ БАНК""","04070, м.Київ, Подільський район, ІГОРІВСЬКА/ НАБЕРЕЖНО-ХРЕЩАТИЦЬКА, будинок 13/5 ЛІТ А",37572263
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК ""ПРАВЕКС-БАНК""",64.19 Інші види грошового посередництва,КИРИЧЕНКО ТАРАС ОЛЕКСІЙОВИЧ,"ПАТКБ ""ПРАВЕКС-БАНК""","01021, м.Київ, Печерський район, КЛОВСЬКИЙ УЗВІЗ, будинок 9/2",14360920
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ""СОФІЙСЬКИЙ""",64.19 Інші види грошового посередництва,КУРЕНИЙ ОЛЕКСАНДР ВІКТОРОВИЧ,"ПАТ""БАНК ""СОФІЙСЬКИЙ""","03151, м.Київ, Солом'янський район, ПОВІТРОФЛОТСЬКИЙ ПРОСПЕКТ, будинок 54",38061253
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""ФІНАНСОВИЙ ПАРТНЕР""",64.19 Інші види грошового посередництва,АДАМЧУК ОЛЬГА ДМИТРІВНА,"ПАТ ""КБ ""ФІНАНСОВИЙ ПАРТНЕР""","04107, м.Київ, Шевченківський район, ВУЛИЦЯ ЛУК'ЯНІВСЬКА, будинок 1",38322199
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРАЇНСЬКИЙ БАНК РЕКОНСТРУКЦІЇ ТА РОЗВИТКУ""",64.19 Інші види грошового посередництва,ЛОКТІОНОВ ОЛЕГ ЮРІЙОВИЧ,"АТ (ПУБЛ.) ""УКРАЇНСЬКИЙ БАНК РЕКОНСТРУКЦІЇ ТА РОЗВИТКУ""","04080, м.Київ, Подільський район, ВУЛИЦЯ ОЛЕКСІЯ ТЕРЬОХІНА, будинок 4",26520688
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АЛЬПАРІ БАНК""",64.19 Інші види грошового посередництва,БАБИЧ ДМИТРО ЮРІЙОВИЧ,"ПАТ ""АЛЬПАРІ БАНК""","01033, м.Київ, Голосіївський район, ВУЛИЦЯ ТАРАСІВСЬКА, будинок 19",38377143
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ""ЮНІСОН""",64.19 Інші види грошового посередництва,ШЕВЧЕНКО АНДРІЙ МИКОЛАЙОВИЧ,"ПАТ ""БАНК ""ЮНІСОН""","03028, м.Київ, Голосіївський район, ПРОСПЕКТ НАУКИ, будинок 30-А",38514375
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БМ БАНК""",65.12.1 КОМЕРЦІЙНІ БАНКИ,ЛОМАКОВИЧ ВІТАЛІЙ АФАНАСІЙОВИЧ,"ТОВ ""БМ БАНК""","01032, м.Київ, Шевченківський район, БУЛЬВАР ТАРАСА ШЕВЧЕНКА, будинок 37/122",33881201
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК МИХАЙЛІВСЬКИЙ""",64.19 Інші види грошового посередництва,ВОЛКОВ ОЛЕКСАНДР ЮРІЙОВИЧ,"ПАТ ""БАНК МИХАЙЛІВСЬКИЙ""","01001, м.Київ, Шевченківський район, ПРОВУЛОК РИЛЬСЬКИЙ, будинок 10-12/3",38619024
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК АВАНГАРД""",64.19 Інші види грошового посередництва,КОРЧИНСЬКА СВІТЛАНА АНАТОЛІЇВНА,"ПАТ ""БАНК АВАНГАРД""","04116, м.Київ, Шевченківський район, ВУЛИЦЯ ШОЛУДЕНКА, будинок 3",38690683
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ІНВЕСТИЦІЙНО-ТРАСТОВИЙ БАНК""",64.19 Інші види грошового посередництва,МАЗУР ЮЛІЯ ПЕТРІВНА,"ПАТ ""ІНВЕСТИЦІЙНО-ТРАСТОВИЙ БАНК""","04071, м.Київ, Подільський район, ВУЛИЦЯ ПОЧАЙНИНСЬКА, будинок 45",38781707
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЕРЖАВНИЙ ЗЕМЕЛЬНИЙ БАНК""",64.19 Інші види грошового посередництва,ФЕДОРЧЕНКО АНДРІЙ ВОЛОДИМИРОВИЧ,"ПАТ ""ДЕРЖЗЕМБАНК""","03115, м.Київ, Святошинський район, ВУЛ. ГЕНЕРАЛА ВІТРУКА, будинок 12",38591533
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КОМЕРЦІЙНИЙ БАНК ""ДАНІЕЛЬ""",65.12.1 КОМЕРЦІЙНІ БАНКИ,БАКОВА ТЕТЯНА ВАДИМІВНА,"ТОВ ""КОМЕРЦІЙНИЙ БАНК ""ДАНІЕЛЬ""","01033, м.Київ, Печерський район, ВУЛИЦЯ САКСАГАНСЬКОГО, будинок 3 ЛІТ А",26475516
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО  ""ЧОРНОМОРСЬКИЙ БАНК РОЗВИТКУ ТА РЕКОНСТРУКЦІЇ""",64.19 Інші види грошового посередництва,МАТВІЄНКО АНДРІЙ АНАТОЛІЙОВИЧ,"ПАТ ""ЧБРР""","95001, Автономна Республіка Крим, місто Сімферополь, Київський район, ВУЛИЦЯ БІЛЬШОВИЦЬКА, будинок 24",20929956
припинено,"Акціонерний комерційний банк ""Таврія""",,,,"333005, м. Сімферополь, вул. Севастопольська, 4",16328435
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""СОЦКОМ БАНК""",64.19 Інші види грошового посередництва,ЧІБІРДІНА ОЛЬГА ОЛЕКСАНДРІВНА,"ПАТ ""КБ ""СКБ""","65026, Одеська обл., місто Одеса, Приморський район, ВУЛ. ГРЕЦЬКА, будинок 5",26364113
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО АКЦІОНЕРНИЙ БАНК ""СТОЛИЧНИЙ""",64.19 Інші види грошового посередництва,КУХАРЕВ ВОЛОДИМИР ВАЛЕНТИНОВИЧ,"ПАТ АБ ""СТОЛИЧНИЙ""","40030, Сумська обл., місто Суми, Зарічний район, ВУЛИЦЯ ПОКРОВСЬКА, будинок 25",20028816
